SEXO,RAÇA,ESTADO_CIVIL,ESCOLARIDADE,IDADE,OCUPAÇÂO,RENDIMENTO,OCUPAÇÂO_1,OCUPAÇÂO_2,OCUPAÇÂO_3
1,4,1,7,22,9214,E,9,92,921
1,1,5,6,23,7112,E,7,71,711
2,4,1,7,41,9211,E,9,92,921
1,1,1,5,30,9211,E,9,92,921
1,2,1,10,39,3322,C,3,33,332
2,4,5,11,41,2341,D,2,23,234
1,1,5,5,37,9211,E,9,92,921
1,4,1,6,24,9211,E,9,92,921
1,4,5,7,35,8322,E,8,83,832
2,4,5,7,32,5141,D,5,51,514
1,2,1,2,49,9214,E,9,92,921
1,4,5,10,23,9313,D,9,93,931
1,4,5,6,22,9211,D,9,92,921
2,4,1,2,51,9214,E,9,92,921
1,2,1,5,25,9211,E,9,92,921
2,3,1,6,23,9211,E,9,92,921
1,4,1,3,56,6111,E,6,61,611
2,4,1,3,56,6111,E,6,61,611
1,4,5,7,21,6111,E,6,61,611
1,1,5,5,23,6111,E,6,61,611
1,1,5,5,28,9211,E,9,92,921
2,1,5,10,36,9112,E,9,91,911
2,4,1,6,30,6111,E,6,61,611
1,4,1,7,27,6111,E,6,61,611
2,1,1,5,33,9211,E,9,92,921
1,1,1,5,30,9211,E,9,92,921
1,4,1,2,35,9211,E,9,92,921
2,4,1,5,26,9211,E,9,92,921
1,4,1,10,35,7112,E,7,71,711
1,4,5,6,35,6114,E,6,61,611
2,4,5,7,24,6111,E,6,61,611
1,4,1,6,48,9211,E,9,92,921
1,4,5,10,21,2351,E,2,23,235
2,2,1,6,31,9211,E,9,92,921
1,2,1,5,31,9211,E,9,92,921
2,5,5,5,37,9211,E,9,92,921
1,5,5,5,42,9211,E,9,92,921
1,1,1,5,42,8322,E,8,83,832
2,4,1,7,32,2341,E,2,23,234
1,1,1,5,45,6111,E,6,61,611
1,4,1,5,38,9313,E,9,93,931
1,4,5,10,44,9211,E,9,92,921
2,4,2,6,52,9211,E,9,92,921
2,4,5,7,25,9211,E,9,92,921
1,4,5,10,27,9211,E,9,92,921
2,4,1,10,24,9211,E,9,92,921
1,4,1,7,26,9211,E,9,92,921
2,4,1,3,53,9112,E,9,91,911
1,4,1,3,56,5141,E,5,51,514
1,4,1,10,29,8322,D,8,83,832
2,4,1,10,22,5222,D,5,52,522
2,4,1,7,49,4226,E,4,42,422
1,4,1,2,39,9214,E,9,92,921
1,4,1,7,46,5211,D,5,52,521
1,1,5,11,24,5230,E,5,52,523
1,4,5,6,25,9214,E,9,92,921
1,4,5,6,24,9214,E,9,92,921
2,4,4,6,46,6111,E,6,61,611
1,4,1,10,30,0000,E,0,0,0
1,5,1,5,53,9211,E,9,92,921
2,4,1,5,51,9211,E,9,92,921
2,4,1,5,59,0000,E,0,0,0
2,1,1,12,40,2341,C,2,23,234
1,4,1,11,38,4211,C,4,42,421
2,1,5,10,35,3221,E,3,32,322
2,4,1,10,24,9520,E,9,95,952
2,4,1,7,45,5153,E,5,51,515
2,2,5,7,22,5223,E,5,52,522
1,4,1,5,28,5245,D,5,52,524
1,4,5,2,28,5223,D,5,52,522
1,2,1,5,35,8322,E,8,83,832
1,4,1,7,50,6130,E,6,61,613
1,4,5,6,26,6111,E,6,61,611
2,4,1,10,26,6111,E,6,61,611
1,4,1,2,28,6111,E,6,61,611
2,4,1,5,51,9112,E,9,91,911
1,4,1,5,56,7126,E,7,71,712
1,1,1,10,32,7213,D,7,72,721
2,1,1,11,34,2341,D,2,23,234
1,4,5,6,28,6111,E,6,61,611
1,4,5,10,35,5412,D,5,54,541
2,1,1,11,36,2341,D,2,23,234
2,1,5,5,43,9211,E,9,92,921
2,4,1,3,55,9211,E,9,92,921
1,4,5,5,43,9214,E,9,92,921
1,4,1,5,47,9211,E,9,92,921
1,4,1,5,24,9211,E,9,92,921
2,4,1,5,26,9211,E,9,92,921
2,4,3,5,34,9111,E,9,91,911
1,1,5,10,31,3221,C,3,32,322
2,4,5,10,27,9112,E,9,91,911
1,4,5,5,42,6111,E,6,61,611
1,1,5,7,21,6114,E,6,61,611
2,4,5,10,23,6114,E,6,61,611
2,4,1,7,36,9211,E,9,92,921
1,4,1,5,42,9211,E,9,92,921
1,4,1,5,29,9212,E,9,92,921
1,4,5,6,24,9211,E,9,92,921
2,4,5,10,22,9211,E,9,92,921
1,4,5,5,23,9211,E,9,92,921
2,4,5,6,31,9211,E,9,92,921
1,4,5,5,31,9211,E,9,92,921
1,4,1,10,37,8322,E,8,83,832
2,1,1,10,36,4110,E,4,41,411
1,4,5,2,41,9214,E,9,92,921
2,4,5,2,42,9214,E,9,92,921
1,4,1,7,23,9321,E,9,93,932
1,4,5,6,31,9211,E,9,92,921
2,4,5,5,25,9211,E,9,92,921
2,4,1,5,56,6111,E,6,61,611
1,2,2,5,40,9214,E,9,92,921
1,2,5,5,32,7214,D,7,72,721
1,2,5,3,57,9313,E,9,93,931
2,1,5,5,32,9112,D,9,91,911
2,2,2,2,44,9211,E,9,92,921
1,1,1,5,25,6111,E,6,61,611
2,4,1,7,22,6111,E,6,61,611
1,4,1,3,47,6111,E,6,61,611
2,4,1,10,40,2342,D,2,23,234
2,1,5,11,37,2341,C,2,23,234
1,4,1,5,39,7212,D,7,72,721
1,4,1,10,43,7126,E,7,71,712
1,4,1,5,50,9211,D,9,92,921
2,4,1,7,42,4229,E,4,42,422
1,2,5,5,32,9211,E,9,92,921
2,2,5,10,25,2341,E,2,23,234
1,4,5,7,26,9214,E,9,92,921
2,4,1,6,28,9214,E,9,92,921
1,4,5,5,32,9214,E,9,92,921
2,4,5,7,21,9214,E,9,92,921
1,4,1,5,43,9211,E,9,92,921
2,4,1,5,44,6111,E,6,61,611
2,4,1,2,32,9214,E,9,92,921
1,4,1,2,34,9214,E,9,92,921
1,4,1,5,53,6111,E,6,61,611
2,4,1,5,37,9214,E,9,92,921
1,4,1,5,35,9214,E,9,92,921
2,1,5,11,30,2359,E,2,23,235
1,4,3,7,36,8322,D,8,83,832
2,1,1,5,52,5321,D,5,53,532
1,4,5,10,22,1420,E,1,14,142
1,4,1,7,23,9313,E,9,93,931
1,4,5,5,51,9313,E,9,93,931
2,4,5,10,46,2635,E,2,26,263
1,4,1,6,22,6111,E,6,61,611
1,4,1,5,59,7112,D,7,71,711
1,4,5,10,26,5414,D,5,54,541
1,4,1,3,48,9213,E,9,92,921
2,1,1,5,35,9214,E,9,92,921
1,1,1,3,43,9211,E,9,92,921
1,1,5,7,22,6111,E,6,61,611
2,4,1,5,49,6111,E,6,61,611
1,1,1,5,45,6111,E,6,61,611
1,4,1,5,30,7112,E,7,71,711
2,4,5,5,31,9211,E,9,92,921
1,4,5,5,32,9211,E,9,92,921
1,4,1,2,54,9214,E,9,92,921
1,4,1,2,47,9611,D,9,96,961
2,4,1,5,36,5120,E,5,51,512
1,4,1,6,44,6111,E,6,61,611
1,1,1,6,40,6111,E,6,61,611
1,4,5,7,23,7115,E,7,71,711
1,4,5,7,25,6111,E,6,61,611
2,4,2,11,25,3253,E,3,32,325
1,1,5,10,32,8332,D,8,83,833
2,1,1,12,56,2341,D,2,23,234
1,1,1,7,56,9122,D,9,91,912
1,1,5,6,26,8332,E,8,83,833
1,4,1,5,34,7112,E,7,71,711
2,4,1,10,34,2341,D,2,23,234
1,4,1,5,55,9211,E,9,92,921
2,4,1,2,48,9211,E,9,92,921
1,4,1,5,37,6111,E,6,61,611
2,4,1,6,32,6111,E,6,61,611
1,4,1,2,41,9211,E,9,92,921
2,4,1,2,43,9211,E,9,92,921
1,4,1,11,36,7534,E,7,75,753
2,4,1,11,30,2341,D,2,23,234
2,2,1,3,46,9111,E,9,91,911
2,2,5,10,23,5223,E,5,52,522
2,2,5,10,24,5223,E,5,52,522
2,4,3,10,48,2342,D,2,23,234
1,4,1,6,30,8322,D,8,83,832
2,4,1,6,25,9214,E,9,92,921
2,2,5,5,26,6114,E,6,61,611
1,4,5,5,30,6111,E,6,61,611
1,4,1,8,46,6111,E,6,61,611
2,4,1,5,38,9111,E,9,91,911
1,1,5,2,51,9211,E,9,92,921
1,2,5,2,27,9211,E,9,92,921
1,4,1,7,39,8322,D,8,83,832
2,4,1,10,24,3253,D,3,32,325
1,4,1,7,50,8322,E,8,83,832
2,4,1,10,44,2342,D,2,23,234
1,4,5,7,23,5245,E,5,52,524
1,4,1,5,38,9211,E,9,92,921
2,4,1,7,35,9211,E,9,92,921
2,4,1,5,46,9111,E,9,91,911
1,4,1,5,48,5211,E,5,52,521
2,4,5,5,39,9214,E,9,92,921
1,4,5,10,42,9214,E,9,92,921
2,1,1,7,45,4110,E,4,41,411
1,1,5,10,23,5223,E,5,52,522
1,4,1,5,46,7512,D,7,75,751
2,4,1,4,47,9111,E,9,91,911
1,4,5,8,41,3114,E,3,31,311
1,2,5,7,22,9211,E,9,92,921
1,2,5,7,24,9211,E,9,92,921
2,2,1,2,47,9211,E,9,92,921
1,2,1,5,55,9211,E,9,92,921
2,4,5,10,35,5311,E,5,53,531
1,4,5,5,27,9211,E,9,92,921
2,4,5,5,23,9211,E,9,92,921
1,4,5,5,37,9211,E,9,92,921
2,1,1,5,50,9211,E,9,92,921
1,2,1,6,33,6111,E,6,61,611
2,4,5,5,25,9111,E,9,91,911
1,4,1,6,43,8322,D,8,83,832
2,4,5,5,26,6114,E,6,61,611
1,4,5,7,36,8211,D,8,82,821
2,1,4,9,55,3411,C,3,34,341
2,1,1,5,43,6111,E,6,61,611
1,4,1,5,42,6111,E,6,61,611
1,4,1,6,30,7412,D,7,74,741
1,2,1,10,41,5414,D,5,54,541
2,4,1,10,38,9111,E,9,91,911
2,4,1,7,38,6111,E,6,61,611
1,4,1,6,37,6111,E,6,61,611
2,4,5,2,38,9214,E,9,92,921
1,1,1,5,53,6111,E,6,61,611
2,4,1,5,41,6111,E,6,61,611
1,3,3,2,43,9211,E,9,92,921
1,1,1,7,33,7231,E,7,72,723
2,4,1,5,35,9111,E,9,91,911
1,2,5,2,34,6114,E,6,61,611
1,1,1,5,56,6121,E,6,61,612
2,4,5,11,32,4110,D,4,41,411
2,4,1,7,38,9211,E,9,92,921
1,4,1,5,42,9211,D,9,92,921
2,4,2,7,48,6111,E,6,61,611
1,4,1,7,24,9211,E,9,92,921
2,4,1,10,22,9211,E,9,92,921
2,1,5,10,29,5223,E,5,52,522
2,4,1,10,29,3253,E,3,32,325
1,4,5,5,37,9211,E,9,92,921
2,4,5,5,28,9211,E,9,92,921
1,4,5,7,22,8322,E,8,83,832
1,4,1,2,47,6111,E,6,61,611
2,1,1,2,40,6111,E,6,61,611
1,4,1,5,40,9211,E,9,92,921
1,4,1,5,34,9213,E,9,92,921
2,4,1,7,36,9211,E,9,92,921
2,4,5,2,37,9111,E,9,91,911
1,4,5,5,22,9313,D,9,93,931
1,1,1,5,41,9211,E,9,92,921
1,4,1,5,41,9211,E,9,92,921
1,2,5,5,29,9214,E,9,92,921
2,2,5,5,55,9214,E,9,92,921
1,4,1,5,30,9211,E,9,92,921
2,4,5,6,24,6111,E,6,61,611
2,4,5,12,33,2341,D,2,23,234
1,4,5,5,36,8322,B,8,83,832
1,4,5,2,24,6111,E,6,61,611
2,4,5,5,32,9211,E,9,92,921
1,1,5,7,52,9211,E,9,92,921
1,1,5,2,31,6111,E,6,61,611
1,4,1,7,43,6111,E,6,61,611
2,1,1,1,53,6111,E,6,61,611
1,1,5,10,29,6111,E,6,61,611
1,1,1,6,42,7411,E,7,74,741
1,1,2,12,56,2261,A,2,22,226
1,2,5,10,32,2341,E,2,23,234
1,4,5,7,34,8331,D,8,83,833
2,4,5,5,37,9214,E,9,92,921
1,4,5,5,42,7412,E,7,74,741
1,2,1,5,34,3322,E,3,33,332
1,4,5,6,27,9211,E,9,92,921
1,4,5,5,29,9211,E,9,92,921
1,1,1,6,33,6114,E,6,61,611
1,2,1,10,29,6114,E,6,61,611
1,4,1,5,35,5211,E,5,52,521
1,4,5,5,38,6111,E,6,61,611
2,4,2,10,25,6111,E,6,61,611
2,4,1,6,41,9111,E,9,91,911
1,4,1,7,45,9313,E,9,93,931
1,4,1,2,43,8322,E,8,83,832
2,4,1,7,41,5120,E,5,51,512
1,4,5,5,28,9214,E,9,92,921
2,4,5,6,28,9214,E,9,92,921
2,1,5,10,51,5221,E,5,52,522
1,2,5,5,36,9214,E,9,92,921
1,2,5,5,31,9214,E,9,92,921
1,4,5,5,39,9211,E,9,92,921
2,4,5,6,42,6111,E,6,61,611
2,4,5,10,34,6111,E,6,61,611
1,4,5,10,24,7231,E,7,72,723
2,4,5,5,50,6111,E,6,61,611
1,4,5,10,26,9611,E,9,96,961
2,4,1,5,32,6111,E,6,61,611
1,4,1,5,35,6111,E,6,61,611
2,2,1,5,30,6111,E,6,61,611
1,2,1,5,37,6111,E,6,61,611
1,1,1,7,24,9211,E,9,92,921
1,4,5,5,33,0000,E,0,0,0
1,4,1,2,32,6111,D,6,61,611
2,4,1,5,47,6111,E,6,61,611
2,4,1,10,25,6111,E,6,61,611
2,4,5,10,23,6111,E,6,61,611
1,4,1,7,52,6111,E,6,61,611
2,4,1,10,29,6122,E,6,61,612
1,4,1,2,22,9313,E,9,93,931
2,4,1,5,38,9211,E,9,92,921
1,4,1,5,41,9211,E,9,92,921
1,4,1,10,26,9313,E,9,93,931
2,1,1,10,29,3412,E,3,34,341
1,4,1,5,45,6111,E,6,61,611
2,4,1,7,42,2341,D,2,23,234
1,1,5,10,26,4110,E,4,41,411
2,4,5,5,34,4110,E,4,41,411
2,4,1,5,32,6111,E,6,61,611
1,4,1,5,33,6111,E,6,61,611
1,4,5,5,42,9211,E,9,92,921
2,4,5,5,37,9211,E,9,92,921
1,4,1,3,52,5414,D,5,54,541
2,1,1,3,50,9111,E,9,91,911
1,1,5,10,24,5245,D,5,52,524
1,4,5,5,51,6111,E,6,61,611
1,3,5,5,38,9211,E,9,92,921
1,4,1,5,34,9214,E,9,92,921
2,4,1,11,35,2341,D,2,23,234
1,4,1,5,32,6111,E,6,61,611
2,4,1,5,31,6114,E,6,61,611
1,4,1,7,33,7231,E,7,72,723
1,1,1,5,32,7214,D,7,72,721
2,4,1,5,49,7512,E,7,75,751
1,4,1,6,56,6130,E,6,61,613
2,4,1,5,53,6130,E,6,61,613
